Vehicle_ID,Frame_ID,Total_Frames,Global_Time,Local_X,Local_Y,Global_X,Global_Y,v_Length,v_Width,v_Class,v_Vel,v_Acc,Lane_ID,Preceding,Following,Space_Headway,Time_Headway
1,12,884,1113433136100,16.884,48.213,6042842.116,2133117.662,14.3,6.4,2,12.5,0,2,0,0,0,0
1,13,884,1113433136200,16.938,49.463,6042842.012,2133118.909,14.3,6.4,2,12.5,0,2,0,0,0,0
1,14,884,1113433136300,16.991,50.712,6042841.908,2133120.155,14.3,6.4,2,12.5,0,2,0,0,0,0
1,15,884,1113433136400,17.045,51.963,6042841.805,2133121.402,14.3,6.4,2,12.5,0,2,0,0,0,0
1,16,884,1113433136500,17.098,53.213,6042841.701,2133122.649,14.3,6.4,2,12.5,0,2,0,0,0,0
1,17,884,1113433136600,17.151,54.463,6042841.597,2133123.895,14.3,6.4,2,12.49,-0.09,2,0,0,0,0
1,18,884,1113433136700,17.204,55.712,6042841.493,2133125.142,14.3,6.4,2,12.48,-0.08,2,0,0,0,0
1,19,884,1113433136800,17.257,56.956,6042841.389,2133126.389,14.3,6.4,2,12.52,0.55,2,0,0,0,0
1,20,884,1113433136900,17.33,58.199,6042841.306,2133127.628,14.3,6.4,2,12.67,2.21,2,0,0,0,0
1,21,884,1113433137000,17.289,59.463,6042841.107,2133128.871,14.3,6.4,2,13,4.43,2,0,0,0,0
1,22,884,1113433137100,17.197,60.776,6042840.852,2133130.155,14.3,6.4,2,13.49,5.64,2,0,0,0,0
1,23,884,1113433137200,17.027,62.157,6042840.51,2133131.507,14.3,6.4,2,13.98,4.77,2,0,0,0,0
1,24,884,1113433137300,16.863,63.592,6042840.166,2133132.922,14.3,6.4,2,14.36,2.84,2,0,0,0,0
1,25,884,1113433137400,16.752,65.054,6042839.872,2133134.362,14.3,6.4,2,14.58,1.17,2,0,0,0,0
1,26,884,1113433137500,16.731,66.526,6042839.67,2133135.799,14.3,6.4,2,14.64,0.08,2,0,0,0,0
1,27,884,1113433137600,16.682,67.993,6042839.442,2133137.232,14.3,6.4,2,14.62,-0.4,2,0,0,0,0
1,28,884,1113433137700,16.632,69.455,6042839.214,2133138.665,14.3,6.4,2,14.59,-0.54,2,0,0,0,0
1,29,884,1113433137800,16.583,70.913,6042838.987,2133140.098,14.3,6.4,2,14.52,-0.69,2,0,0,0,0
1,30,884,1113433137900,16.528,72.367,6042838.753,2133141.539,14.3,6.4,2,14.38,-1.71,2,0,0,0,0
1,31,884,1113433138000,16.478,73.809,6042838.525,2133142.971,14.3,6.4,2,14.13,-3.49,2,0,0,0,0
1,32,884,1113433138100,16.453,75.21,6042838.328,2133144.363,14.3,6.4,2,13.75,-4.36,2,0,0,0,0
1,33,884,1113433138200,16.462,76.559,6042838.171,2133145.699,14.3,6.4,2,13.37,-3.51,2,0,0,0,0
1,34,884,1113433138300,16.495,77.867,6042838.044,2133146.993,14.3,6.4,2,13.11,-1.72,2,0,0,0,0
1,35,884,1113433138400,16.534,79.159,6042837.924,2133148.279,14.3,6.4,2,13,-0.3,2,0,0,0,0
1,36,884,1113433138500,16.567,80.454,6042837.797,2133149.573,14.3,6.4,2,12.98,0.16,2,0,0,0,0
1,37,884,1113433138600,16.601,81.754,6042837.671,2133150.867,14.3,6.4,2,13,0.07,2,0,0,0,0
