,vel_rates
0,0.03419972640218919
1,0.03360768175583203
2,0.037826685006877185
3,0.03467406380027805
4,0.017844396859385186
5,0.006671608598962428
6,0.02522935779816596
7,0.030185758513933326
8,0.025482625482623672
9,0.02615384615384538
10,0.025384615384616123
11,0.0253846153846164
12,0.02615384615384538
13,0.0253846153846164
14,0.02538461538461367
15,0.026153846153845094
16,0.0253846153846164
17,0.02692307692307709
18,0.0253846153846164
19,0.02538461538461367
20,0.02615384615384783
21,0.02538461538461367
22,0.02615384615384538
23,0.025384615384619134
24,0.02538461538461367
25,0.026153846153845094
26,0.0253846153846164
27,0.026133743274403435
28,0.0253846153846164
29,0.02550231839258217
30,0.02681992337164748
31,0.025660377358489972
32,0.029733959311421056
33,0.015596330275232074
34,0.009708737864078266
35,0.013531799729361233
36,0.00017391304347826001
37,0.04651162790696927
38,0.05059523809524728
39,0.04494382022471305
40,0.04324324324324755
41,0.046321525885558344
42,0.043715846994530745
43,0.04359673024523596
44,0.043715846994532445
45,0.046321525885566234
46,0.04359673024522628
47,0.04359673024523765
48,0.046448087431681044
49,0.04087193460490569
50,0.046321525885558344
51,0.04644808743170226
52,0.04087193460490569
53,0.046321525885558344
54,0.043715846994530745
55,0.04359673024523427
56,0.04359673024522797
57,0.04644808743170226
58,0.04359673024522628
59,0.04371584699454215
60,0.04607046070459421
61,0.0404312668463648
62,0.04918032786885246
63,0.04637681159420824
64,0.033742331288340414
65,0.014925373134325667
66,0.00026455026455027443
67,0.004662004662001901
68,0.0021881838074425297
69,0.002183406113539726
70,0.0022172949002245415
71,0.0022271714921996482
72,0.0002222222222222138
73,0.0022172949002246113
74,0.0002222222222222138
75,0.0022271714922075607
76,0.00022727272727272847
77,0.05251141552511486
78,0.1670235546038485
79,0.19633027522936758
80,0.28461538461538016
81,0.14597544338335433
82,0.08888888888889229
83,0.03538663171690804
84,0.0013315579227665287
85,0.001335113484647835
86,0.00013333333333333334
87,0.0013333333333349628
88,0.0013333333333349628
89,0.001333333333330226
90,0.0013333333333349628
91,0.0013333333333349628
92,0.001333333333330226
93,0.0013333333333349628
94,0.00013333333333333334
95,0.0013333333333349628
96,0.0013422818791914944
97,0.0026881720430092636
98,0.0013210039630134948
99,0.018915510718785493
100,0.04295942720763917
101,0.05740528128588038
102,0.06129398410896338
103,0.056882821387942255
104,0.05707762557077676
105,0.05942857142857098
106,0.05720823798627115
107,0.05821917808218961
108,0.05720823798627115
109,0.05707762557077676
110,0.058285714285716494
111,0.057208237986267084
112,0.058285714285716494
113,0.058285714285712435
114,0.05707762557077676
115,0.057208237986267084
116,0.058688147295744474
117,0.06466512702078739
118,0.05769230769230893
119,0.02253218884119905
120,0.020120724346076035
121,0.0480307396733918
122,0.05193578847969768
123,0.04640151515151416
124,0.04666666666666568
125,0.04766444232602646
126,0.04761904761904907
127,0.04666666666666568
128,0.04761904761904778
129,0.045714285714284805
130,0.04761904761904778
131,0.04757373929590861
132,0.04666666666666568
133,0.04761904761904907
134,0.045670789724071195
135,0.04770992366412273
136,0.0483091787439622
137,0.051306873184898384
138,0.04638218923932933
139,0.021150592216583573
140,0.004548900682335413
141,0.011946591707659479
142,0.01430517711171699
143,0.01159618008185738
144,0.012396694214874071
145,0.012413793103448844
146,0.011716057891109261
147,0.01171605789110903
148,0.012405237767057728
149,0.01171605789110949
150,0.012405237767057485
151,0.011716057891109261
152,0.01171605789110903
153,0.011707988980716125
154,0.012396694214876276
155,0.011707988980715896
156,0.011724137931036653
157,0.011724137931033973
158,0.012405237767055523
159,0.01171605789111148
160,0.011716057891109261
161,0.011026878015160576
162,0.012405237767057728
163,0.011716057891109261
164,0.01171605789111148
165,0.01171605789110949
166,0.012405237767055037
167,0.011716057891111709
168,0.011716057891106812
169,0.01171605789111148
170,0.012405237767055523
171,0.01171605789111148
172,0.011716057891109261
173,0.011716057891109261
174,0.01171605789110903
175,0.011724137931034202
176,0.011716057891109261
177,0.01171605789111148
178,0.011716057891109261
179,0.012405237767057972
180,0.01171605789110903
181,0.011716057891109261
182,0.01171605789110903
183,0.012405237767057728
184,0.011716057891109261
185,0.011756569847855797
186,0.011675824175823895
187,0.012186865267434418
188,0.010767160161508475
189,0.0067704807041287585
190,0.006181318681318842
191,0.006915629322269281
192,0.0075809786354235
193,0.006202618883528742
194,0.006882312456984298
195,0.0069108500345553174
196,0.00695894224077796
197,0.007601935038011586
198,0.006666666666667709
199,0.0019132653061202758
200,0.0012547051442904009
